"business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category"
36024,"R. Image Market","2898 Folsom St","San Francisco","CA","94110",37.750967,-122.414014,"POINT (-122.414014 37.750967)",NULL,"36024_20170816","2017-08-16",81,"Routine - Unscheduled","36024_20170816_103114","High risk vermin infestation","High Risk"
2110,"A La Turca","869 Geary St","San Francisco","CA","94109",37.786143,-122.417617,"POINT (-122.417617 37.786143)",NULL,"2110_20190917","2019-09-17",92,"Routine - Unscheduled","2110_20190917_103161","Low risk vermin infestation","Low Risk"
64379,"Piccadilly Fish & Chips","1348 Polk St","San Francisco","CA","94109",37.789299,-122.420352,"POINT (-122.420352 37.789299)","14155776477","64379_20170906","2017-09-06",92,"Routine - Unscheduled","64379_20170906_103161","Low risk vermin infestation","Low Risk"
1608,"CLADDAGH COFFEE","951 Geneva Ave","San Francisco","CA","94112",37.715997,-122.440048,"POINT (-122.440048 37.715997)",NULL,"1608_20171102","2017-11-02",92,"Routine - Unscheduled","1608_20171102_103161","Low risk vermin infestation","Low Risk"
665,"BRAZEN HEAD RESTAURANT","3166 Buchanan St","San Francisco","CA","94123",37.799218,-122.432517,"POINT (-122.432517 37.799218)",NULL,"665_20161005","2016-10-05",83,"Routine - Unscheduled","665_20161005_103131","Moderate risk vermin infestation","Moderate Risk"
3373,"New Delhi Restaurant","160 Ellis St","San Francisco","CA","94102",37.785465,-122.408851,"POINT (-122.408851 37.785465)",NULL,"3373_20190530","2019-05-30",75,"Routine - Unscheduled","3373_20190530_103114","High risk vermin infestation","High Risk"
1921,"TARAVAL OKAZU YA","1735 Taraval St","San Francisco","CA","94116",37.742603,-122.484646,"POINT (-122.484646 37.742603)",NULL,"1921_20180228","2018-02-28",NULL,"Complaint","1921_20180228_103131","Moderate risk vermin infestation","Moderate Risk"
21921,"Cocobang","550 Taylor St","San Francisco","CA","94102",37.787657,-122.411627,"POINT (-122.411627 37.787657)",NULL,"21921_20161230","2016-12-30",69,"Routine - Unscheduled","21921_20161230_103131","Moderate risk vermin infestation","Moderate Risk"
62771,"Dinosaurs","2275 Market St Unit H","San Francisco","CA","94114",37.764697,-122.432322,"POINT (-122.432322 37.764697)",NULL,"62771_20180418","2018-04-18",90,"Routine - Unscheduled","62771_20180418_103131","Moderate risk vermin infestation","Moderate Risk"
18514,"Yucatasia Deli & Sandwich","2164 Mission St","San Francisco","CA","94110",37.762366,-122.419491,"POINT (-122.419491 37.762366)",NULL,"18514_20171010","2017-10-10",72,"Routine - Unscheduled","18514_20171010_103161","Low risk vermin infestation","Low Risk"
